word_count,numeric_count,unique_words_ratio,repeated_lines,is_fraud
152,61,0.6802857225639665,2,0
121,70,0.5387400631785948,1,0
264,33,0.5603553891795412,0,0
307,39,0.38493564427131044,0,0
210,67,0.5099025726528951,0,0
98,68,0.45994438868610216,2,0
239,71,0.6140703845572054,2,0
413,64,0.6932923543227152,0,0
180,60,0.5721230154351118,0,0
216,27,0.6795542149013333,1,0
291,18,0.30638650088808567,1,0
389,69,0.3488152939379115,0,0
313,56,0.3693458614031088,0,0
469,59,0.5650089137415928,1,0
439,63,0.5186841117373118,1,0
240,27,0.6100531293444458,1,0
251,71,0.6706635463175177,2,0
353,24,0.3353970008207678,2,0
301,71,0.4301321323053057,0,0
387,62,0.5347004662655392,0,0
301,69,0.5170784332632994,0,0
206,24,0.366106775625201,0,0
376,18,0.6088979077186629,2,0
188,17,0.5916028672163949,0,0
428,14,0.6705203514053395,1,0
90,37,0.6452413703502373,1,0
82,57,0.4483273008793065,1,0
265,46,0.5918424713352256,1,0
84,74,0.4531707499015159,2,0
180,10,0.5886918084659493,2,0
304,23,0.4975182385457563,0,0
256,24,0.3443563283247325,0,0
228,72,0.6583054382694077,0,0
101,13,0.6630265895704371,2,0
280,24,0.6022204554172195,0,0
209,68,0.5779139732158818,1,0
219,54,0.4182534743350856,0,0
183,37,0.6214688307596458,1,0
495,71,0.34402076981107066,0,0
332,71,0.3002081507981263,0,0
282,12,0.30278085221247625,2,0
186,71,0.3888431241882921,2,0
283,53,0.3976502088991096,2,0
423,41,0.5075162486973464,0,0
229,71,0.6887128330883843,1,0
344,11,0.5849082359697768,0,0
162,65,0.3147547789418131,0,0
51,11,0.4644148053272925,2,0
273,10,0.3958247562667889,1,0
102,53,0.47911326582923663,1,0
465,77,0.33234133053308607,2,0
450,47,0.4471132530877013,1,0
247,20,0.6265727492877535,0,0
250,68,0.37460740415994165,0,0
308,29,0.4303835620807539,2,0
395,76,0.6238004184558861,2,0
357,42,0.45902880843500893,2,0
387,10,0.5702760468157122,0,0
483,32,0.5165791895310263,1,0
148,16,0.5639936184136716,1,0
161,69,0.4043316699321636,0,0
353,21,0.523317381442839,2,0
58,28,0.5903822715480957,2,0
453,33,0.461803250848876,0,0
457,45,0.6594216754108316,1,0
276,34,0.30202463353848746,1,0
387,75,0.5767580790770772,0,0
218,42,0.30723014544620836,1,0
326,57,0.5985965620472096,2,0
244,26,0.4232243167409557,2,0
420,31,0.3975958573516334,1,0
279,60,0.6568186220708453,2,0
76,30,0.5010548372420768,2,0
497,78,0.39207410729662207,2,0
53,44,0.6074216057225236,0,0
221,39,0.6815714308010349,0,0
55,46,0.6713274250350901,0,0
351,62,0.5289169876683353,0,0
165,72,0.4222788077148727,2,0
210,76,0.367797098674437,0,0
272,63,0.5784119186699892,1,0
329,41,0.5684574067296202,2,0
499,36,0.4181162353675755,1,0
322,42,0.3546485325768115,1,0
225,48,0.4174367377057973,2,0
75,59,0.6468289274320415,0,0
365,16,0.5006065178748798,0,0
69,74,0.32837636679997106,1,0
449,23,0.6560021367270265,2,0
192,75,0.47538964920723475,2,0
391,60,0.48623920725298403,2,0
239,31,0.5363333042276043,1,0
354,61,0.31553389377176927,2,0
103,69,0.43066049671841633,0,0
109,14,0.48290606464549135,1,0
414,56,0.5798048843068775,0,0
419,39,0.3164270067071503,2,0
324,67,0.33138255253690635,0,0
166,71,0.6343920482048823,0,0
445,10,0.3693177280283383,0,0
53,36,0.26476799941183615,3,1
136,5,0.3864595841989583,9,1
88,26,0.3190117949685456,5,1
95,30,0.2067918035953785,7,1
105,33,0.13482179215207488,7,1
66,34,0.3566381752033022,6,1
163,30,0.32900932690117335,7,1
58,37,0.23940214388188344,7,1
42,14,0.3847437194774158,6,1
53,35,0.10459136208711543,5,1
115,5,0.2618132345200188,7,1
23,20,0.12117062422012896,9,1
21,32,0.275732674382039,5,1
103,28,0.3031505027148945,5,1
143,37,0.23747586714745503,5,1
190,16,0.2158307913402323,3,1
187,14,0.16200530796302362,7,1
160,16,0.130233400413228,4,1
54,27,0.12135659453806871,7,1
173,14,0.10698158072074776,4,1
134,11,0.13544944828649688,7,1
133,15,0.3632416040581159,6,1
40,14,0.2270412826924356,5,1
196,39,0.22378530307342798,4,1
115,28,0.3601349821629166,7,1
31,17,0.3219726281342124,5,1
124,34,0.37076587200387,8,1
103,29,0.19601488030918354,5,1
38,16,0.3875624490649595,5,1
95,13,0.1957940912771245,8,1
147,23,0.24790769733154153,7,1
88,39,0.2807322777703357,6,1
142,25,0.325712358831304,9,1
163,18,0.2648586646971207,7,1
182,27,0.26377473104949667,5,1
165,16,0.30640900305251173,4,1
164,11,0.22782744251408235,4,1
156,31,0.3118726681469489,7,1
48,23,0.2743916251680347,7,1
84,26,0.3438398701772508,9,1
90,29,0.27756662164638535,6,1
89,35,0.24450009638923462,6,1
186,31,0.1746172463290864,5,1
58,7,0.17610465216194165,4,1
145,24,0.13564537488042158,7,1
146,5,0.30431182812907276,6,1
132,29,0.3605797384568381,8,1
136,10,0.3406327747080202,7,1
179,25,0.11302023498945184,7,1
183,39,0.3086233369319943,3,1
165,18,0.18834818405182896,3,1
136,7,0.37034740314729675,3,1
31,14,0.3851234452229677,8,1
171,32,0.200698019439089,4,1
111,30,0.21648051519696168,6,1
197,32,0.12332039108949547,3,1
174,21,0.18392905215068373,7,1
176,17,0.3732781553481528,7,1
153,22,0.22499171732154377,7,1
66,29,0.22547291088718568,8,1
128,9,0.1079100923491756,3,1
137,5,0.24411102455990644,9,1
196,15,0.2782392146056406,9,1
105,31,0.27072444074972435,3,1
117,39,0.14015563564018996,7,1
74,10,0.3075143191506736,7,1
114,9,0.3989910511221717,7,1
42,14,0.35489421720322345,3,1
104,18,0.1615135985519575,3,1
70,17,0.16216829470241695,3,1
132,36,0.11406894033736598,9,1
91,30,0.24944955599376792,8,1
137,7,0.25604905033359804,6,1
73,9,0.126522467009694,5,1
76,21,0.14020456853519223,9,1
170,19,0.3354004791832929,8,1
85,15,0.16388924845267322,8,1
57,38,0.2909932964866848,9,1
110,38,0.20447664010699013,8,1
98,34,0.2866260100683621,5,1
100,9,0.3389415327021632,4,1
164,14,0.3306753223946193,6,1
88,38,0.2862417053266274,4,1
145,15,0.12275899843259919,3,1
170,20,0.14557080805368833,8,1
163,12,0.15402018170478957,6,1
44,7,0.36229528145632517,5,1
112,36,0.15169596136048896,4,1
70,23,0.3465371910533348,4,1
111,26,0.1266107601271167,3,1
152,16,0.16190011552173778,4,1
196,18,0.19902985399304662,5,1
92,30,0.33982311967271284,3,1
75,34,0.14709330481485813,7,1
100,30,0.36049033211067605,3,1
118,19,0.26097719379619977,8,1
33,30,0.32798662268127576,8,1
149,30,0.11100496086717937,5,1
26,7,0.3685620513061598,8,1
126,22,0.23422371004703643,5,1
